percentile,threshold,precision,recall,f1,specificity,accuracy,tp,fp,fn,tn
20,0.0,0.8292682926829268,1.0,0.9066666666666667,0.0,0.8292682926829268,34,7,0,0
25,0.0,0.8292682926829268,1.0,0.9066666666666667,0.0,0.8292682926829268,34,7,0,0
30,0.0,0.8292682926829268,1.0,0.9066666666666667,0.0,0.8292682926829268,34,7,0,0
35,0.07142857142857142,0.8888888888888888,0.7058823529411765,0.7868852459016393,0.5714285714285714,0.6829268292682927,24,3,10,4
40,0.11764705882352941,0.88,0.6470588235294118,0.7457627118644068,0.5714285714285714,0.6341463414634146,22,3,12,4
45,0.14634146341463414,0.8695652173913043,0.5882352941176471,0.7017543859649124,0.5714285714285714,0.5853658536585366,20,3,14,4
50,0.15789473684210525,0.8571428571428571,0.5294117647058824,0.6545454545454545,0.5714285714285714,0.5365853658536586,18,3,16,4
55,0.17796610169491525,0.8421052631578947,0.47058823529411764,0.6037735849056604,0.5714285714285714,0.4878048780487805,16,3,18,4
60,0.2,0.8235294117647058,0.4117647058823529,0.5490196078431372,0.5714285714285714,0.43902439024390244,14,3,20,4
