Dimension,CN_mean,CN_std,CI_mean,CI_std,p_value,cohens_d,significance
Circadian,-0.06886164410263931,1.5563760132961644,0.6040391312627686,1.654957754994176,0.3559671197337311,0.4188813661859662,ns
Task,-0.29976145667807685,1.71861518846928,0.7982303250448883,1.9634342031369934,0.23820423879927,0.5950885634351742,ns
Movement,1.7325788594732008,3.3732987858449506,1.9018516911572791,3.7200873182334466,0.7976340690559742,0.047670012243529625,ns
Social,1.5240348794824887,2.9263597170695688,-0.53517153462076,1.4171026061601695,0.027445099375459536,-0.8956559435326712,*
